date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-08-04,dailykos,P,AK,D,CLINTON,0.0638,,,
2016-08-04,dailykos,P,AK,R,TRUMP,0.9363,,,
2016-08-04,dailykos,P,AL,D,CLINTON,0.0063,,,
2016-08-04,dailykos,P,AL,R,TRUMP,0.9938,,,
2016-08-04,dailykos,P,AR,D,CLINTON,0.0019,,,
2016-08-04,dailykos,P,AR,R,TRUMP,0.9981,,,
2016-08-04,dailykos,P,AZ,D,CLINTON,0.2106,,,
2016-08-04,dailykos,P,AZ,R,TRUMP,0.7894,,,
2016-08-04,dailykos,P,CA,D,CLINTON,0.9994,,,
2016-08-04,dailykos,P,CA,R,TRUMP,0.0006,,,
2016-08-04,dailykos,P,CO,D,CLINTON,0.7863,,,
2016-08-04,dailykos,P,CO,R,TRUMP,0.2137,,,
2016-08-04,dailykos,P,CT,D,CLINTON,0.8906,,,
2016-08-04,dailykos,P,CT,R,TRUMP,0.1094,,,
2016-08-04,dailykos,P,DC,D,CLINTON,1.0,,,
2016-08-04,dailykos,P,DC,R,TRUMP,0.0,,,
2016-08-04,dailykos,P,DE,D,CLINTON,0.9769,,,
2016-08-04,dailykos,P,DE,R,TRUMP,0.0231,,,
2016-08-04,dailykos,P,FL,D,CLINTON,0.4956,,,
2016-08-04,dailykos,P,FL,R,TRUMP,0.5044,,,
2016-08-04,dailykos,P,GA,D,CLINTON,0.21,,,
2016-08-04,dailykos,P,GA,R,TRUMP,0.79,,,
2016-08-04,dailykos,P,HI,D,CLINTON,1.0,,,
2016-08-04,dailykos,P,HI,R,TRUMP,0.0,,,
2016-08-04,dailykos,P,IA,D,CLINTON,0.5637,,,
2016-08-04,dailykos,P,IA,R,TRUMP,0.4363,,,
2016-08-04,dailykos,P,ID,D,CLINTON,0.0,,,
2016-08-04,dailykos,P,ID,R,TRUMP,1.0,,,
2016-08-04,dailykos,P,IL,D,CLINTON,0.985,,,
2016-08-04,dailykos,P,IL,R,TRUMP,0.015,,,
2016-08-04,dailykos,P,IN,D,CLINTON,0.0225,,,
2016-08-04,dailykos,P,IN,R,TRUMP,0.9775,,,
2016-08-04,dailykos,P,KS,D,CLINTON,0.0006,,,
2016-08-04,dailykos,P,KS,R,TRUMP,0.9994,,,
2016-08-04,dailykos,P,KY,D,CLINTON,0.0056,,,
2016-08-04,dailykos,P,KY,R,TRUMP,0.9944,,,
2016-08-04,dailykos,P,LA,D,CLINTON,0.0056,,,
2016-08-04,dailykos,P,LA,R,TRUMP,0.9944,,,
2016-08-04,dailykos,P,MA,D,CLINTON,1.0,,,
2016-08-04,dailykos,P,MA,R,TRUMP,0.0,,,
2016-08-04,dailykos,P,MD,D,CLINTON,1.0,,,
2016-08-04,dailykos,P,MD,R,TRUMP,0.0,,,
2016-08-04,dailykos,P,ME,D,CLINTON,0.8912,,,
2016-08-04,dailykos,P,ME,R,TRUMP,0.1088,,,
2016-08-04,dailykos,P,MI,D,CLINTON,0.8825,,,
2016-08-04,dailykos,P,MI,R,TRUMP,0.1175,,,
2016-08-04,dailykos,P,MN,D,CLINTON,0.8387,,,
