date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-10-10,desart,P,AK,D,CLINTON,0.075,,,
2016-10-10,desart,P,AK,R,TRUMP,0.925,,,
2016-10-10,desart,P,AL,D,CLINTON,0.011,,,
2016-10-10,desart,P,AL,R,TRUMP,0.989,,,
2016-10-10,desart,P,AR,D,CLINTON,0.017,,,
2016-10-10,desart,P,AR,R,TRUMP,0.983,,,
2016-10-10,desart,P,AZ,D,CLINTON,0.227,,,
2016-10-10,desart,P,AZ,R,TRUMP,0.773,,,
2016-10-10,desart,P,CA,D,CLINTON,0.994,,,
2016-10-10,desart,P,CA,R,TRUMP,0.006,,,
2016-10-10,desart,P,CO,D,CLINTON,0.729,,,
2016-10-10,desart,P,CO,R,TRUMP,0.271,,,
2016-10-10,desart,P,CT,D,CLINTON,0.955,,,
2016-10-10,desart,P,CT,R,TRUMP,0.045,,,
2016-10-10,desart,P,DC,D,CLINTON,1.0,,,
2016-10-10,desart,P,DC,R,TRUMP,0.0,,,
2016-10-10,desart,P,DE,D,CLINTON,0.967,,,
2016-10-10,desart,P,DE,R,TRUMP,0.033,,,
2016-10-10,desart,P,FL,D,CLINTON,0.683,,,
2016-10-10,desart,P,FL,R,TRUMP,0.317,,,
2016-10-10,desart,P,GA,D,CLINTON,0.264,,,
2016-10-10,desart,P,GA,R,TRUMP,0.736,,,
2016-10-10,desart,P,HI,D,CLINTON,1.0,,,
2016-10-10,desart,P,HI,R,TRUMP,0.0,,,
2016-10-10,desart,P,IA,D,CLINTON,0.535,,,
2016-10-10,desart,P,IA,R,TRUMP,0.465,,,
2016-10-10,desart,P,ID,D,CLINTON,0.0,,,
2016-10-10,desart,P,ID,R,TRUMP,1.0,,,
2016-10-10,desart,P,IL,D,CLINTON,0.995,,,
2016-10-10,desart,P,IL,R,TRUMP,0.005,,,
2016-10-10,desart,P,IN,D,CLINTON,0.135,,,
2016-10-10,desart,P,IN,R,TRUMP,0.865,,,
2016-10-10,desart,P,KS,D,CLINTON,0.025,,,
