date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-11-07,huffpost,P,AK,D,CLINTON,0.010649,-0.068056,,
2016-11-07,huffpost,P,AK,R,TRUMP,0.989351,0.068056,,
2016-11-07,huffpost,P,AL,D,CLINTON,0.0,-0.191594,,
2016-11-07,huffpost,P,AL,R,TRUMP,1.0,0.191594,,
2016-11-07,huffpost,P,AR,D,CLINTON,0.0,-0.158886,,
2016-11-07,huffpost,P,AR,R,TRUMP,1.0,0.158886,,
2016-11-07,huffpost,P,AZ,D,CLINTON,0.144653,-0.020789,,
2016-11-07,huffpost,P,AZ,R,TRUMP,0.855347,0.020789,,
2016-11-07,huffpost,P,CA,D,CLINTON,1.0,0.249441,,
2016-11-07,huffpost,P,CA,R,TRUMP,0.0,-0.249441,,
2016-11-07,huffpost,P,CO,D,CLINTON,0.999735,0.051819,,
2016-11-07,huffpost,P,CO,R,TRUMP,0.000265,-0.051819,,
2016-11-07,huffpost,P,CT,D,CLINTON,0.99998,0.11467,,
2016-11-07,huffpost,P,CT,R,TRUMP,2e-05,-0.11467,,
2016-11-07,huffpost,P,DC,D,CLINTON,0.999989,0.2955,,
2016-11-07,huffpost,P,DC,R,TRUMP,1.1e-05,-0.2955,,
2016-11-07,huffpost,P,DE,D,CLINTON,0.999996,0.140252,,
2016-11-07,huffpost,P,DE,R,TRUMP,4e-06,-0.140252,,
2016-11-07,huffpost,P,FL,D,CLINTON,0.88967,0.016343,,
2016-11-07,huffpost,P,FL,R,TRUMP,0.11033,-0.016343,,
2016-11-07,huffpost,P,GA,D,CLINTON,0.100688,-0.024344,,
2016-11-07,huffpost,P,GA,R,TRUMP,0.899312,0.024344,,
2016-11-07,huffpost,P,HI,D,CLINTON,0.999989,0.2955,,
2016-11-07,huffpost,P,HI,R,TRUMP,1.1e-05,-0.2955,,
2016-11-07,huffpost,P,IA,D,CLINTON,0.125028,-0.030215,,
2016-11-07,huffpost,P,IA,R,TRUMP,0.874972,0.030215,,
2016-11-07,huffpost,P,ID,D,CLINTON,0.0,-0.188416,,
2016-11-07,huffpost,P,ID,R,TRUMP,1.0,0.188416,,
2016-11-07,huffpost,P,IL,D,CLINTON,1.0,0.160339,,
2016-11-07,huffpost,P,IL,R,TRUMP,0.0,-0.160339,,
2016-11-07,huffpost,P,IN,D,CLINTON,0.001598,-0.093365,,
2016-11-07,huffpost,P,IN,R,TRUMP,0.998402,0.093365,,
2016-11-07,huffpost,P,KS,D,CLINTON,3e-06,-0.127798,,
2016-11-07,huffpost,P,KS,R,TRUMP,0.999997,0.127798,,
2016-11-07,huffpost,P,KY,D,CLINTON,0.0,-0.228544,,
2016-11-07,huffpost,P,KY,R,TRUMP,1.0,0.228544,,
2016-11-07,huffpost,P,LA,D,CLINTON,1e-06,-0.126958,,
2016-11-07,huffpost,P,LA,R,TRUMP,0.999999,0.126958,,
2016-11-07,huffpost,P,MA,D,CLINTON,1.0,0.235971,,
2016-11-07,huffpost,P,MA,R,TRUMP,0.0,-0.235971,,
2016-11-07,huffpost,P,MD,D,CLINTON,1.0,0.282037,,
2016-11-07,huffpost,P,MD,R,TRUMP,0.0,-0.282037,,
2016-11-07,huffpost,P,ME,D,CLINTON,0.998122,0.090753,,
2016-11-07,huffpost,P,ME,R,TRUMP,0.001878,-0.090753,,
2016-11-07,huffpost,P,MI,D,CLINTON,0.988812,0.066944,,
2016-11-07,huffpost,P,MI,R,TRUMP,0.011188,-0.066944,,
2016-11-07,huffpost,P,MN,D,CLINTON,0.997983,0.071226,,
2016-11-07,huffpost,P,MN,R,TRUMP,0.002017,-0.071226,,
2016-11-07,huffpost,P,MO,D,CLINTON,0.000956,-0.077978,,
2016-11-07,huffpost,P,MO,R,TRUMP,0.999044,0.077978,,
2016-11-07,huffpost,P,MS,D,CLINTON,0.001236,-0.087516,,
2016-11-07,huffpost,P,MS,R,TRUMP,0.998764,0.087516,,
2016-11-07,huffpost,P,MT,D,CLINTON,3e-06,-0.16291,,
2016-11-07,huffpost,P,MT,R,TRUMP,0.999997,0.16291,,
2016-11-07,huffpost,P,NC,D,CLINTON,0.80467,0.013633,,
2016-11-07,huffpost,P,NC,R,TRUMP,0.19533,-0.013633,,
2016-11-07,huffpost,P,ND,D,CLINTON,0.0,-0.219662,,
2016-11-07,huffpost,P,ND,R,TRUMP,1.0,0.219662,,
2016-11-07,huffpost,P,NE,D,CLINTON,0.0,-0.175849,,
2016-11-07,huffpost,P,NE,R,TRUMP,1.0,0.175849,,
