date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-11-07,kremp,P,AK,D,CLINTON,0.0,,,0.44
2016-11-07,kremp,P,AK,R,TRUMP,1.0,,,0.56
2016-11-07,kremp,P,AL,D,CLINTON,0.0,,,0.395
2016-11-07,kremp,P,AL,R,TRUMP,1.0,,,0.605
2016-11-07,kremp,P,AR,D,CLINTON,0.0,,,0.402
2016-11-07,kremp,P,AR,R,TRUMP,1.0,,,0.598
2016-11-07,kremp,P,AZ,D,CLINTON,0.09,,,0.48
2016-11-07,kremp,P,AZ,R,TRUMP,0.91,,,0.52
2016-11-07,kremp,P,CA,D,CLINTON,1.0,,,0.642
2016-11-07,kremp,P,CA,R,TRUMP,0.0,,,0.358
2016-11-07,kremp,P,CO,D,CLINTON,0.93,,,0.523
2016-11-07,kremp,P,CO,R,TRUMP,0.07,,,0.477
2016-11-07,kremp,P,CT,D,CLINTON,1.0,,,0.566
2016-11-07,kremp,P,CT,R,TRUMP,0.0,,,0.434
2016-11-07,kremp,P,DC,D,CLINTON,1.0,,,
2016-11-07,kremp,P,DC,R,TRUMP,0.0,,,
2016-11-07,kremp,P,DE,D,CLINTON,1.0,,,0.581
2016-11-07,kremp,P,DE,R,TRUMP,0.0,,,0.419
2016-11-07,kremp,P,FL,D,CLINTON,0.68,,,0.507
2016-11-07,kremp,P,FL,R,TRUMP,0.32,,,0.493
2016-11-07,kremp,P,GA,D,CLINTON,0.09,,,0.479
2016-11-07,kremp,P,GA,R,TRUMP,0.91,,,0.521
2016-11-07,kremp,P,HI,D,CLINTON,1.0,,,0.659
2016-11-07,kremp,P,HI,R,TRUMP,0.0,,,0.341
2016-11-07,kremp,P,IA,D,CLINTON,0.1,,,0.48
2016-11-07,kremp,P,IA,R,TRUMP,0.9,,,0.52
2016-11-07,kremp,P,ID,D,CLINTON,0.0,,,0.364
2016-11-07,kremp,P,ID,R,TRUMP,1.0,,,0.636
2016-11-07,kremp,P,IL,D,CLINTON,1.0,,,0.591
2016-11-07,kremp,P,IL,R,TRUMP,0.0,,,0.409
2016-11-07,kremp,P,IN,D,CLINTON,0.0,,,0.425
2016-11-07,kremp,P,IN,R,TRUMP,1.0,,,0.575
2016-11-07,kremp,P,KS,D,CLINTON,0.0,,,0.423
2016-11-07,kremp,P,KS,R,TRUMP,1.0,,,0.577
2016-11-07,kremp,P,KY,D,CLINTON,0.0,,,0.379
2016-11-07,kremp,P,KY,R,TRUMP,1.0,,,0.621
2016-11-07,kremp,P,LA,D,CLINTON,0.0,,,0.414
2016-11-07,kremp,P,LA,R,TRUMP,1.0,,,0.586
2016-11-07,kremp,P,MA,D,CLINTON,1.0,,,0.637
