date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-07-01,nyt,P,AK,D,CLINTON,0.105,-0.11811,,
2016-07-01,nyt,P,AK,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,AK,R,TRUMP,0.895,0.11811,,
2016-07-01,nyt,P,AL,D,CLINTON,0.035,-0.18743,,
2016-07-01,nyt,P,AL,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,AL,R,TRUMP,0.965,0.18743,,
2016-07-01,nyt,P,AR,D,CLINTON,0.073,-0.18916,,
2016-07-01,nyt,P,AR,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,AR,R,TRUMP,0.927,0.18916,,
2016-07-01,nyt,P,AZ,D,CLINTON,0.253,-0.05873,,
2016-07-01,nyt,P,AZ,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,AZ,R,TRUMP,0.747,0.05873,,
2016-07-01,nyt,P,CA,D,CLINTON,0.997,0.22393,,
2016-07-01,nyt,P,CA,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,CA,R,TRUMP,0.003,-0.22393,,
2016-07-01,nyt,P,CO,D,CLINTON,0.729,0.05616,,
2016-07-01,nyt,P,CO,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,CO,R,TRUMP,0.271,-0.05616,,
2016-07-01,nyt,P,CT,D,CLINTON,0.923,0.17478,,
2016-07-01,nyt,P,CT,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,CT,R,TRUMP,0.077,-0.17478,,
2016-07-01,nyt,P,DC,D,CLINTON,1.0,0.84247,,
2016-07-01,nyt,P,DC,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,DC,R,TRUMP,0.0,-0.84247,,
2016-07-01,nyt,P,DE,D,CLINTON,0.894,0.17154,,
2016-07-01,nyt,P,DE,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,DE,R,TRUMP,0.106,-0.17154,,
2016-07-01,nyt,P,FL,D,CLINTON,0.624,0.02205,,
2016-07-01,nyt,P,FL,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,FL,R,TRUMP,0.376,-0.02205,,
2016-07-01,nyt,P,GA,D,CLINTON,0.375,-0.0289,,
2016-07-01,nyt,P,GA,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,GA,R,TRUMP,0.625,0.0289,,
2016-07-01,nyt,P,HI,D,CLINTON,0.97,0.372,,
2016-07-01,nyt,P,HI,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,HI,R,TRUMP,0.03,-0.372,,
2016-07-01,nyt,P,IA,D,CLINTON,0.738,0.05622,,
2016-07-01,nyt,P,IA,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,IA,R,TRUMP,0.262,-0.05622,,
2016-07-01,nyt,P,ID,D,CLINTON,0.064,-0.27098,,
2016-07-01,nyt,P,ID,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,ID,R,TRUMP,0.936,0.27098,,
2016-07-01,nyt,P,IL,D,CLINTON,0.906,0.13061,,
2016-07-01,nyt,P,IL,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,IL,R,TRUMP,0.094,-0.13061,,
2016-07-01,nyt,P,IN,D,CLINTON,0.146,-0.1012,,
2016-07-01,nyt,P,IN,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,IN,R,TRUMP,0.854,0.1012,,
2016-07-01,nyt,P,KS,D,CLINTON,0.112,-0.16689,,
2016-07-01,nyt,P,KS,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,KS,R,TRUMP,0.888,0.16689,,
2016-07-01,nyt,P,KY,D,CLINTON,0.063,-0.18394,,
2016-07-01,nyt,P,KY,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,KY,R,TRUMP,0.937,0.18394,,
2016-07-01,nyt,P,LA,D,CLINTON,0.107,-0.13463,,
2016-07-01,nyt,P,LA,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,LA,R,TRUMP,0.893,0.13463,,
2016-07-01,nyt,P,MA,D,CLINTON,0.99,0.2495,,
2016-07-01,nyt,P,MA,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,MA,R,TRUMP,0.01,-0.2495,,
2016-07-01,nyt,P,MD,D,CLINTON,0.998,0.28472,,
2016-07-01,nyt,P,MD,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,MD,R,TRUMP,0.002,-0.28472,,
2016-07-01,nyt,P,ME,D,CLINTON,0.889,0.15249,,
2016-07-01,nyt,P,ME,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,ME,R,TRUMP,0.111,-0.15249,,
2016-07-01,nyt,P,MI,D,CLINTON,0.82,0.09559,,
2016-07-01,nyt,P,MI,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,MI,R,TRUMP,0.18,-0.09559,,
2016-07-01,nyt,P,MN,D,CLINTON,0.876,0.10617,,
2016-07-01,nyt,P,MN,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,MN,R,TRUMP,0.124,-0.10617,,
2016-07-01,nyt,P,MO,D,CLINTON,0.213,-0.06658,,
2016-07-01,nyt,P,MO,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,MO,R,TRUMP,0.787,0.06658,,
2016-07-01,nyt,P,MS,D,CLINTON,0.195,-0.09323,,
2016-07-01,nyt,P,MS,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,MS,R,TRUMP,0.805,0.09323,,
2016-07-01,nyt,P,MT,D,CLINTON,0.145,-0.10745,,
2016-07-01,nyt,P,MT,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,MT,R,TRUMP,0.855,0.10745,,
2016-07-01,nyt,P,NC,D,CLINTON,0.513,0.00266,,
2016-07-01,nyt,P,NC,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,NC,R,TRUMP,0.487,-0.00266,,
2016-07-01,nyt,P,ND,D,CLINTON,0.134,-0.16169,,
2016-07-01,nyt,P,ND,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,ND,R,TRUMP,0.866,0.16169,,
2016-07-01,nyt,P,NE,D,CLINTON,0.025,-0.18896,,
2016-07-01,nyt,P,NE,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,NE,R,TRUMP,0.975,0.18896,,
2016-07-01,nyt,P,NH,D,CLINTON,0.728,0.05545,,
2016-07-01,nyt,P,NH,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,NH,R,TRUMP,0.272,-0.05545,,
2016-07-01,nyt,P,NJ,D,CLINTON,0.939,0.15613,,
2016-07-01,nyt,P,NJ,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,NJ,R,TRUMP,0.061,-0.15613,,
2016-07-01,nyt,P,NM,D,CLINTON,0.845,0.11751,,
2016-07-01,nyt,P,NM,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,NM,R,TRUMP,0.155,-0.11751,,
2016-07-01,nyt,P,NV,D,CLINTON,0.714,0.06338,,
2016-07-01,nyt,P,NV,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,NV,R,TRUMP,0.286,-0.06338,,
2016-07-01,nyt,P,NY,D,CLINTON,0.992,0.26164,,
2016-07-01,nyt,P,NY,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,NY,R,TRUMP,0.008,-0.26164,,
2016-07-01,nyt,P,OH,D,CLINTON,0.657,0.03076,,
2016-07-01,nyt,P,OH,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,OH,R,TRUMP,0.343,-0.03076,,
2016-07-01,nyt,P,OK,D,CLINTON,0.042,-0.28432,,
2016-07-01,nyt,P,OK,L,JOHNSON,0.0,,,
2016-07-01,nyt,P,OK,R,TRUMP,0.958,0.28432,,
2016-07-01,nyt,P,OR,D,CLINTON,0.934,0.13018,,
2016-07-01,nyt,P,OR,L,JOHNSON,0.0,,,
