date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-07-05,pec,P,AK,D,CLINTON,0.03,-0.14,,
2016-07-05,pec,P,AK,R,TRUMP,0.97,0.14,,
2016-07-05,pec,P,AL,D,CLINTON,0.0,-0.22,,
2016-07-05,pec,P,AL,R,TRUMP,1.0,0.22,,
2016-07-05,pec,P,AR,D,CLINTON,0.0,-0.11,,
2016-07-05,pec,P,AR,R,TRUMP,1.0,0.11,,
2016-07-05,pec,P,AZ,D,CLINTON,0.4,-0.04,,
2016-07-05,pec,P,AZ,R,TRUMP,0.6,0.04,,
2016-07-05,pec,P,CA,D,CLINTON,1.0,0.26,,
2016-07-05,pec,P,CA,R,TRUMP,0.0,-0.26,,
2016-07-05,pec,P,CO,D,CLINTON,0.55,0.01,,
2016-07-05,pec,P,CO,R,TRUMP,0.45,-0.01,,
2016-07-05,pec,P,CT,D,CLINTON,0.99,0.075,,
2016-07-05,pec,P,CT,R,TRUMP,0.01,-0.075,,
2016-07-05,pec,P,DC,D,CLINTON,1.0,0.83,,
2016-07-05,pec,P,DC,R,TRUMP,0.0,-0.83,,
2016-07-05,pec,P,DE,D,CLINTON,0.99,0.19,,
2016-07-05,pec,P,DE,R,TRUMP,0.01,-0.19,,
2016-07-05,pec,P,FL,D,CLINTON,0.7,0.005,,
2016-07-05,pec,P,FL,R,TRUMP,0.3,-0.005,,
2016-07-05,pec,P,GA,D,CLINTON,0.3,-0.04,,
2016-07-05,pec,P,GA,R,TRUMP,0.7,0.04,,
2016-07-05,pec,P,HI,D,CLINTON,1.0,0.43,,
2016-07-05,pec,P,HI,R,TRUMP,0.0,-0.43,,
2016-07-05,pec,P,IA,D,CLINTON,0.65,0.03,,
2016-07-05,pec,P,IA,R,TRUMP,0.35,-0.03,,
2016-07-05,pec,P,ID,D,CLINTON,0.0,-0.32,,
2016-07-05,pec,P,ID,R,TRUMP,1.0,0.32,,
2016-07-05,pec,P,IL,D,CLINTON,0.98,0.25,,
2016-07-05,pec,P,IL,R,TRUMP,0.02,-0.25,,
2016-07-05,pec,P,IN,D,CLINTON,0.16,-0.075,,
2016-07-05,pec,P,IN,R,TRUMP,0.84,0.075,,
2016-07-05,pec,P,KS,D,CLINTON,0.82,-0.015,,
2016-07-05,pec,P,KS,R,TRUMP,0.18,0.015,,
2016-07-05,pec,P,KY,D,CLINTON,0.0,-0.23,,
2016-07-05,pec,P,KY,R,TRUMP,1.0,0.23,,
