date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-11-07,pollsavvy,P,AK,D,CLINTON,0.000736,,0.379887,
2016-11-07,pollsavvy,P,AK,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,AK,L,JOHNSON,0.0,,0.065894,
2016-11-07,pollsavvy,P,AK,R,TRUMP,0.009264,,0.475652,
2016-11-07,pollsavvy,P,AL,D,CLINTON,1e-06,,0.333981,
2016-11-07,pollsavvy,P,AL,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,AL,L,JOHNSON,0.0,,0.055224,
2016-11-07,pollsavvy,P,AL,R,TRUMP,0.009999,,0.538106,
2016-11-07,pollsavvy,P,AR,D,CLINTON,5e-06,,0.347202,
2016-11-07,pollsavvy,P,AR,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,AR,L,JOHNSON,0.0,,0.055224,
2016-11-07,pollsavvy,P,AR,R,TRUMP,0.009995,,0.524886,
2016-11-07,pollsavvy,P,AZ,D,CLINTON,0.002647,,0.422146,
2016-11-07,pollsavvy,P,AZ,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,AZ,L,JOHNSON,0.0,,0.059136,
2016-11-07,pollsavvy,P,AZ,R,TRUMP,0.007353,,0.447001,
2016-11-07,pollsavvy,P,CA,D,CLINTON,0.01,,0.551574,
2016-11-07,pollsavvy,P,CA,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,CA,L,JOHNSON,0.0,,0.043315,
2016-11-07,pollsavvy,P,CA,R,TRUMP,0.0,,0.326521,
2016-11-07,pollsavvy,P,CO,D,CLINTON,0.008145,,0.460402,
2016-11-07,pollsavvy,P,CO,I,MCMULLIN,0.0,,0.013508,
2016-11-07,pollsavvy,P,CO,L,JOHNSON,0.0,,0.069527,
2016-11-07,pollsavvy,P,CO,R,TRUMP,0.001855,,0.426234,
2016-11-07,pollsavvy,P,CT,D,CLINTON,0.009981,,0.514436,
2016-11-07,pollsavvy,P,CT,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,CT,L,JOHNSON,0.0,,0.055224,
2016-11-07,pollsavvy,P,CT,R,TRUMP,1.9e-05,,0.357652,
2016-11-07,pollsavvy,P,DC,D,CLINTON,0.01,,0.811615,
2016-11-07,pollsavvy,P,DC,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,DC,L,JOHNSON,0.0,,0.055224,
2016-11-07,pollsavvy,P,DC,R,TRUMP,0.0,,0.060472,
2016-11-07,pollsavvy,P,DE,D,CLINTON,0.009988,,0.518405,
2016-11-07,pollsavvy,P,DE,I,MCMULLIN,0.0,,0.05083,
2016-11-07,pollsavvy,P,DE,L,JOHNSON,0.0,,0.055224,
2016-11-07,pollsavvy,P,DE,R,TRUMP,1.2e-05,,0.353682,
