date,model,office,state,party,candidate,win_prob,est_diff,est_share,est_share_2p
2016-10-01,predictwise_overall,P,AK,D,CLINTON,0.01,,,
2016-10-01,predictwise_overall,P,AK,R,TRUMP,0.99,,,
2016-10-01,predictwise_overall,P,AL,D,CLINTON,0.0,,,
2016-10-01,predictwise_overall,P,AL,R,TRUMP,1.0,,,
2016-10-01,predictwise_overall,P,AR,D,CLINTON,0.0,,,
2016-10-01,predictwise_overall,P,AR,R,TRUMP,1.0,,,
2016-10-01,predictwise_overall,P,AZ,D,CLINTON,0.15,,,
2016-10-01,predictwise_overall,P,AZ,R,TRUMP,0.85,,,
2016-10-01,predictwise_overall,P,CA,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,CA,R,TRUMP,0.0,,,
2016-10-01,predictwise_overall,P,CO,D,CLINTON,0.89,,,
2016-10-01,predictwise_overall,P,CO,R,TRUMP,0.11,,,
2016-10-01,predictwise_overall,P,CT,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,CT,R,TRUMP,0.0,,,
2016-10-01,predictwise_overall,P,DC,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,DC,R,TRUMP,0.0,,,
2016-10-01,predictwise_overall,P,DE,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,DE,R,TRUMP,0.0,,,
2016-10-01,predictwise_overall,P,FL,D,CLINTON,0.7,,,
2016-10-01,predictwise_overall,P,FL,R,TRUMP,0.3,,,
2016-10-01,predictwise_overall,P,GA,D,CLINTON,0.1,,,
2016-10-01,predictwise_overall,P,GA,R,TRUMP,0.9,,,
2016-10-01,predictwise_overall,P,HI,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,HI,R,TRUMP,0.0,,,
2016-10-01,predictwise_overall,P,IA,D,CLINTON,0.44,,,
2016-10-01,predictwise_overall,P,IA,R,TRUMP,0.56,,,
2016-10-01,predictwise_overall,P,ID,D,CLINTON,0.0,,,
2016-10-01,predictwise_overall,P,ID,R,TRUMP,1.0,,,
2016-10-01,predictwise_overall,P,IL,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,IL,R,TRUMP,0.0,,,
2016-10-01,predictwise_overall,P,IN,D,CLINTON,0.04,,,
2016-10-01,predictwise_overall,P,IN,R,TRUMP,0.96,,,
2016-10-01,predictwise_overall,P,KS,D,CLINTON,0.01,,,
2016-10-01,predictwise_overall,P,KS,R,TRUMP,0.99,,,
2016-10-01,predictwise_overall,P,KY,D,CLINTON,0.01,,,
2016-10-01,predictwise_overall,P,KY,R,TRUMP,0.99,,,
2016-10-01,predictwise_overall,P,LA,D,CLINTON,0.01,,,
2016-10-01,predictwise_overall,P,LA,R,TRUMP,0.99,,,
2016-10-01,predictwise_overall,P,MA,D,CLINTON,1.0,,,
2016-10-01,predictwise_overall,P,MA,R,TRUMP,0.0,,,
