date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2016-08-05,0.3797,0.4171,0.4724,0.3913,0.6111,0.5268,0.5439,0.571,0.4989,0.4743,0.6651,0.3445,0.5712,0.4307,0.5059,0.4078,0.4015,0.4019,0.5471,0.6387,0.6497,0.5401,0.5377,0.4319,0.4717,0.4223,0.3789,0.5031,0.5115,0.5675,0.5419,0.6106,0.4897,0.3915,0.5028,0.343,0.5448,0.5147,0.6304,0.442,0.4025,0.4042,0.4196,0.3704,0.662,0.5134,0.5512,0.3336,0.5342,0.28
2016-08-06,0.3777,0.4177,0.4719,0.3916,0.6126,0.526,0.5433,0.57,0.4986,0.4735,0.6647,0.3429,0.5723,0.4304,0.5062,0.4063,0.4031,0.3996,0.5491,0.6382,0.6494,0.5399,0.5373,0.436,0.4709,0.4215,0.3803,0.5022,0.5106,0.5674,0.5402,0.61,0.4895,0.3905,0.503,0.3418,0.5442,0.5133,0.6282,0.4382,0.3995,0.4048,0.4201,0.3724,0.6626,0.5119,0.5508,0.3327,0.5342,0.2773
2016-08-07,0.3814,0.4195,0.4713,0.389,0.6126,0.5265,0.5413,0.5707,0.499,0.4731,0.6651,0.3431,0.5718,0.4294,0.5049,0.4072,0.4011,0.3994,0.5482,0.639,0.6492,0.5393,0.5378,0.4352,0.4715,0.4241,0.3813,0.5014,0.5108,0.5656,0.5403,0.6082,0.4886,0.3923,0.5016,0.3419,0.5434,0.5129,0.6307,0.4398,0.4004,0.4045,0.4189,0.3706,0.663,0.5118,0.5503,0.332,0.5332,0.2752
2016-08-08,0.3795,0.4206,0.4715,0.3896,0.6115,0.5267,0.5429,0.5716,0.4989,0.473,0.6642,0.343,0.5715,0.4294,0.504,0.4062,0.4021,0.3999,0.5476,0.6381,0.6482,0.5395,0.5373,0.431,0.4718,0.423,0.3812,0.5017,0.5111,0.5672,0.5412,0.6091,0.4892,0.3891,0.5022,0.3415,0.5446,0.5127,0.6296,0.4389,0.4005,0.4038,0.419,0.3704,0.6635,0.5124,0.5492,0.3334,0.5341,0.2783
2016-08-09,0.3853,0.4233,0.4726,0.3946,0.6172,0.5327,0.5469,0.5754,0.5012,0.487,0.6695,0.3469,0.576,0.4351,0.5101,0.4128,0.4039,0.4048,0.5518,0.643,0.653,0.5467,0.5424,0.4387,0.477,0.4258,0.384,0.5067,0.5147,0.5716,0.5452,0.6143,0.494,0.3933,0.5077,0.3468,0.5499,0.5245,0.6323,0.4433,0.4052,0.4089,0.4248,0.3669,0.667,0.5296,0.5552,0.3369,0.5388,0.2796
2016-08-10,0.3821,0.4223,0.4722,0.3941,0.6163,0.535,0.5475,0.5724,0.5028,0.4862,0.6681,0.3485,0.5767,0.4346,0.5116,0.4115,0.4031,0.4034,0.5533,0.6422,0.6528,0.5466,0.541,0.4388,0.4561,0.4257,0.3846,0.5056,0.5133,0.5715,0.5444,0.613,0.4936,0.3928,0.5063,0.343,0.5504,0.5232,0.632,0.4426,0.4052,0.4067,0.4248,0.3664,0.6659,0.5291,0.5555,0.337,0.5399,0.2789
2016-08-11,0.3835,0.4238,0.4742,0.3968,0.6187,0.5362,0.5494,0.5756,0.5008,0.4878,0.6701,0.3498,0.5794,0.4361,0.5089,0.4207,0.3925,0.4058,0.554,0.6436,0.655,0.549,0.542,0.4389,0.4659,0.4267,0.3866,0.5084,0.5178,0.5723,0.5458,0.6153,0.4926,0.3966,0.5091,0.347,0.5529,0.5293,0.6348,0.4442,0.4039,0.4094,0.4277,0.3692,0.6676,0.5311,0.5566,0.3379,0.5406,0.28
2016-08-12,0.3848,0.4233,0.4739,0.3962,0.6189,0.5348,0.5484,0.5754,0.5,0.4883,0.6685,0.3498,0.5785,0.4354,0.5091,0.4207,0.3913,0.4057,0.5542,0.6434,0.6537,0.5492,0.5424,0.4377,0.465,0.4273,0.3847,0.5077,0.5169,0.5726,0.5468,0.6156,0.4915,0.3948,0.5091,0.3466,0.5531,0.5287,0.6346,0.446,0.4049,0.4095,0.4267,0.3691,0.6679,0.5305,0.5563,0.3384,0.5409,0.2822
2016-08-13,0.3849,0.4239,0.4745,0.3961,0.6194,0.5368,0.549,0.5762,0.5001,0.4885,0.669,0.35,0.5793,0.4362,0.5089,0.4215,0.3914,0.407,0.5556,0.6444,0.6543,0.5491,0.542,0.4397,0.466,0.4292,0.386,0.5075,0.5171,0.5729,0.5472,0.616,0.4919,0.3978,0.5089,0.3478,0.553,0.5287,0.6356,0.4455,0.4049,0.4093,0.4267,0.3684,0.669,0.5307,0.5572,0.3384,0.5414,0.2814
2016-08-14,0.385,0.4235,0.4742,0.3963,0.62,0.5364,0.5504,0.5759,0.5008,0.4887,0.6723,0.3507,0.5797,0.4378,0.5099,0.4216,0.3931,0.4072,0.5546,0.6442,0.6552,0.5489,0.5443,0.44,0.467,0.4266,0.3878,0.5083,0.517,0.5725,0.5468,0.6174,0.4929,0.3968,0.5093,0.3475,0.5539,0.5292,0.6324,0.4475,0.4071,0.4095,0.4258,0.3688,0.6698,0.5315,0.5572,0.3391,0.5415,0.2823
