state,Clinton,Trump,Johnson,McMullin,Stein,winprob_Clinton,winprob_Trump,winprob_Johnson,winprob_McMullin,winprob_Stein
AL,33.39811325,53.81062509,5.522426112,5.083045495,2.185790052,6.00E-05,0.99994,0,0,0
AK,37.98868925,47.56519636,6.589353607,5.083045495,2.77371529,0.0736,0.9264,0,0,0
AZ,42.21455205,44.70009177,5.913589157,5.083045495,2.088721533,0.26471,0.73529,0,0,0
AR,34.72017974,52.4885586,5.522426112,5.083045495,2.185790052,0.00049,0.99951,0,0,0
CA,55.15737141,32.65210708,4.331456991,5.083045495,2.776019018,1,0,0,0,0
CO,46.04015573,42.62335916,6.952748222,1.350765342,3.032971546,0.8145,0.1855,0,0,0
CT,51.44357915,35.7651592,5.522426112,5.083045495,2.185790052,0.9981,0.0019,0,0,0
DE,51.84051376,35.36822458,5.522426112,5.083045495,2.185790052,0.99883,0.00117,0,0,0
DC,81.16153009,6.047208253,5.522426112,5.083045495,2.185790052,1,0,0,0,0
FL,46.45295315,44.39950492,3.356119371,4.304549107,1.486873449,0.70363,0.29637,0,0,0
GA,42.36097067,45.78349218,5.404037814,5.083045495,1.368453838,0.19422,0.80578,0,0,0
HI,60.08848248,27.12025586,5.522426112,5.083045495,2.185790052,1,0,0,0,0
ID,29.58683249,52.7150427,6.213365686,9.298969067,2.185790052,0.00023,0.99977,0,0,0
IL,50.24837105,36.01350747,6.450769945,5.083045495,2.204306047,0.99166,0.00834,0,0,0
IN,38.75217915,46.6622319,6.674215698,5.083045495,2.828327761,0.05575,0.94425,0,0,0
IA,44.49948209,45.40748045,5.626636157,2.680017141,1.786384164,0.41505,0.58495,0,0,0
KS,35.66759015,50.25231152,7.65326612,5.083045495,1.343786713,0.0027,0.9973,0,0,0
KY,34.52508391,52.68365443,5.522426112,5.083045495,2.185790052,0.00035,0.99965,0,0,0
LA,37.25847979,50.30166111,5.190881034,5.083045495,2.165932567,0.00705,0.99295,0,0,0
ME,45.98500676,37.10427833,8.169660688,5.083045495,3.658008735,0.94388,0.05612,0,0,0
ME-1,48.24983222,34.83945286,8.169660688,5.083045495,3.658008735,0.99456,0.00544,0,0,0
ME-2,43.4923282,39.59695688,8.169660688,5.083045495,3.658008735,0.76976,0.23024,0,0,0
MD,54.05894224,33.14979611,5.522426112,5.083045495,2.185790052,0.99993,7.00E-05,0,0,0
MA,55.44767495,29.45503392,6.832166691,5.083045495,3.18207895,1,0,0,0,0
MI,45.99136911,38.38676827,7.166596659,5.083045495,3.372220472,0.93732,0.06268,0,0,0
MN,49.34950755,41.19729767,5.703995166,2.047793663,1.701405954,0.92158,0.07842,0,0,0
MS,37.46815406,49.74058428,5.522426112,5.083045495,2.185790052,0.01224,0.98776,0,0,0
MO,40.58321111,48.62622222,4.053220706,5.083045495,1.654300477,0.04933,0.95067,0,0,0
MT,38.38339628,48.82534206,5.522426112,5.083045495,2.185790052,0.02724,0.97276,0,0,0
NE,33.70379337,53.50494498,5.522426112,5.083045495,2.185790052,0.00015,0.99985,0,0,0
NE-1,36.08764872,51.12108962,5.522426112,5.083045495,2.185790052,0.00297,0.99703,0,0,0
NE-2,39.71265525,47.49608309,5.522426112,5.083045495,2.185790052,0.07563,0.92437,0,0,0
NE-3,24.15983087,63.04890747,5.522426112,5.083045495,2.185790052,0,1,0,0,0
NV,44.30225376,42.83954279,5.589367904,5.083045495,2.185790052,0.63559,0.36441,0,0,0
NH,44.41907724,40.81913202,7.541432225,5.083045495,2.137313017,0.8071,0.1929,0,0,0
NJ,50.29790361,37.81390394,4.541667763,5.083045495,2.26347919,0.98555,0.01445,0,0,0
NM,42.80995739,37.43209804,12.4836517,5.083045495,2.191247375,0.89206,0.10794,0,0,0
NY,53.44307089,33.27112292,5.427017649,5.083045495,2.775743046,0.99996,4.00E-05,0,0,0
NC,45.10319527,44.20291003,4.574444068,5.083045495,1.036405141,0.58964,0.41036,0,0,0
ND,35.56349723,51.64524111,5.522426112,5.083045495,2.185790052,0.00134,0.99866,0,0,0
OH,43.56959838,44.15065074,5.026312842,5.083045495,2.170392536,0.44739,0.55261,0,0,0
OK,29.04127257,58.16746577,5.522426112,5.083045495,2.185790052,0,1,0,0,0
OR,46.91713387,38.01000588,5.944531864,5.083045495,4.045282894,0.93738,0.06262,0,0,0
PA,46.27643069,41.64564687,4.775328845,5.083045495,2.2195481,0.87776,0.12224,0,0,0
RI,55.38730214,31.8214362,5.522426112,5.083045495,2.185790052,0.99998,2.00E-05,0,0,0
SC,38.49937492,48.70936343,5.522426112,5.083045495,2.185790052,0.02967,0.97033,0,0,0
SD,36.48458334,50.724155,5.522426112,5.083045495,2.185790052,0.00436,0.99564,0,0,0
TN,35.77710429,49.61738697,7.258876471,5.083045495,2.263586773,0.02698,0.97302,0,0,0
TX,40.08453095,48.00757709,5.458465928,5.083045495,1.366380542,0.04791,0.95209,0,0,0
UT,28.63626947,37.98948796,6.151065234,25.81629333,1.406883997,0.0119,0.98678,0,0.00132,0
VT,58.40274656,28.80599178,5.522426112,5.083045495,2.185790052,1,0,0,0,0
VA,48.71698527,42.44784998,5.187832607,1.933065286,1.714266855,0.94658,0.05342,0,0,0
WA,50.84686817,37.90811184,4.411985058,5.083045495,1.749989434,0.9985,0.0015,0,0,0
WV,34.65904372,52.54969462,5.522426112,5.083045495,2.185790052,0.00044,0.99956,0,0,0
WI,46.95927836,40.83221621,4.845039749,5.083045495,2.28042018,0.9112,0.0888,0,0,0
WY,26.4991828,60.70955554,5.522426112,5.083045495,2.185790052,0,1,0,0,0
US,45.22613554,41.9826028,5.522426112,5.083045495,2.185790052,0.80425,0.19575,0,0,0
